Account,Password,RePassword,Name,Date,__Invariant,Sex,PhoneNumber,RoleName
ngocanh,123456789,123456789,Nguyen Ngoc Anh,2025-10-01,Date,0,0911000001,Buyer
minhquan,123456789,123456789,Tran Minh Quan,2025-10-01,Date,0,0911000002,Buyer
thanhhuyen,123456789,123456789,Le Thanh Huyen,2025-10-01,Date,1,0911000003,Buyer
vandat,123456789,123456789,Pham Hoang Nam,2025-10-01,Date,0,0911000004,Buyer
tuananh,123456789,123456789,Do Tuan Anh,2025-10-01,Date,0,0911000005,Buyer
thuytrang,123456789,123456789,Nguyen Thuy Trang,2025-10-01,Date,1,0911000006,Buyer
kienpham,123456789,123456789,Pham Van Kien,2025-10-01,Date,0,0911000007,Buyer
hoangyen,123456789,123456789,Le Hoang Yen,2025-10-01,Date,1,0911000008,Buyer
thanhdat,123456789,123456789,Nguyen Thanh Dat,2025-10-01,Date,0,0911000009,Buyer
haianh,123456789,123456789,Tran Hai Anh,2025-10-01,Date,0,0911000010,Buyer
kimngan,123456789,123456789,Vo Kim Ngan,2025-10-01,Date,1,0911000011,Buyer
trungkien,123456789,123456789,Nguyen Trung Kien,2025-10-01,Date,0,0911000012,Buyer
quynhnhu,123456789,123456789,Ho Quynh Nhu,2025-10-01,Date,1,0911000013,Buyer
manhhung,123456789,123456789,Pham Manh Hung,2025-10-01,Date,0,0911000014,Buyer
thienan,123456789,123456789,Tran Thien An,2025-10-01,Date,0,0911000015,Buyer
bichngoc,123456789,123456789,Nguyen Bich Ngoc,2025-10-01,Date,1,0911000016,Buyer
hoanglong,123456789,123456789,Do Hoang Long,2025-10-01,Date,0,0911000017,Buyer
phuonglinh,123456789,123456789,Le Phuong Linh,2025-10-01,Date,1,0911000018,Buyer
baolam,123456789,123456789,Nguyen Bao Lam,2025-10-01,Date,0,0911000019,Buyer
minhchau,123456789,123456789,Tran Minh Chau,2025-10-01,Date,1,0911000020,Buyer
ductrung,123456789,123456789,Pham Duc Trung,2025-10-01,Date,0,0911000021,Buyer
ngocmai,123456789,123456789,Nguyen Ngoc Mai,2025-10-01,Date,1,0911000022,Buyer
vietanh,123456789,123456789,Tran Viet Anh,2025-10-01,Date,0,0911000023,Buyer
thutrang,123456789,123456789,Le Thu Trang,2025-10-01,Date,1,0911000024,Buyer
hoangphuc,123456789,123456789,Nguyen Hoang Phuc,2025-10-01,Date,0,0911000025,Buyer
thanhha,123456789,123456789,Pham Thanh Ha,2025-10-01,Date,1,0911000026,Buyer
namson,123456789,123456789,Do Nam Son,2025-10-01,Date,0,0911000027,Buyer
ngocbich,123456789,123456789,Tran Ngoc Bich,2025-10-01,Date,1,0911000028,Buyer
hoangvu,123456789,123456789,Le Hoang Vu,2025-10-01,Date,0,0911000029,Buyer
thuhien,123456789,123456789,Nguyen Thu Hien,2025-10-01,Date,1,0911000030,Buyer
